Id,UnitId,Tainted,Channel,Trust,WorkerId,CountryCode,City,Ip,Response1,Response2,Response3,Classifier,Exclude,Training
2909675480,1403461954,FALSE,neodev,1,43642908,VEN,Valencia,190.79.79.9,I could give information of if there is algin cost in bringing a hand bag,what is the cost of getting on the plane with my handbag,has some additional cost to tackle with my hand bag,baggage_carryon,0,0
2909712249,1403461954,FALSE,clixsense,1,40597878,ESP,Leioa,85.86.226.145,Is it any cost for my bag?,Why I can't take my bag for free?,I thought it was included with my ticket,baggage_carryon,0,0
2909712924,1403461954,FALSE,neodev,1,43700704,VEN,Maracay,200.93.85.111,can you tell me if I should pay for carrying a hand bag to the plane,How much money does it cost to bring a hand bag to the plane?,can you inform me if carrying a hand bag has any cost?,baggage_carryon,0,0
2909775275,1403461954,FALSE,clixsense,1,36522920,RUS,Moscow,91.78.29.125,Should I pay to carry the bag on board?,If there is a need to help me bring my bag to the plane how much will it cost?,Who can I ask about this?,baggage_carryon,0,0
2909674854,1403461954,FALSE,neodev,1,36312400,VEN,Puerto Ordaz,190.207.114.243,i have to pay for the handbag?,How much is the cost of hand baggage access?,Do you charge for hand luggage?,baggage_carryon,0,0
2909662724,1403461954,FALSE,neodev,1,43602514,TUR,Erzurum,78.164.167.106,Is there a carrying bag cost?,how much does the carrying bag cost?,Is the cost of the carrying bag too high?,baggage_carryon,0,0
2909674215,1403461954,FALSE,neodev,1,43850470,VEN,Barquisimeto,190.207.138.155,there are additional charges for carrying my handbag?,I can carry my handbag with me at no additional cost,thanks for your kindness,baggage_carryon,0,0
2909644586,1403461954,FALSE,neodev,1,38366779,RUS,Bryansk,2.93.179.230,jdsakdjakl,lkdjalkdjasl,dlkajdlajdal,baggage_carryon,123,0
2909698787,1403461954,FALSE,clixsense,1,39078729,EGY,Cairo,41.237.4.122,Can i know if it costs money to bring a carry-on bag onto the plane?,What is the cost of carrying a carry-on bag with me inside the plane?,What is the cost of carrying a suitcase with me inside the plane?,baggage_carryon,0,0
2909634314,1403461954,FALSE,neodev,1,43765666,VEN,Guacara,186.89.123.89,gassdgsdga,dgdsgdsgsdg,dgdsgdsg,baggage_carryon,123,0
2909661672,1403461954,FALSE,neodev,1,43615460,EGY,Benha,156.214.127.74,can i know if it costs money to bring a carry-on bag onto the plane?,can you help me i want to carry-on bag onto the plane but i dont know  cost ?,what's the way if i carry-on bag onto the plane and how much it ?,baggage_carryon,0,0
2909700956,1403461954,FALSE,neodev,1,41807814,VEN,Caracas,186.93.94.191,hi could you please tell me again the information that i did not understand,hi could you please tell me again the information that i did not understand,hi could you please tell me again the information that i did not understand,baggage_carryon,123,0
2909677312,1403461954,FALSE,neodev,1,43842917,EGY,,156.203.100.225,does it cost money to bring my carry-on bag onto the plane,how much does it cost to bring a carry-on bag,what is the cost of bringing a carry-on bag onto the plane,baggage_carryon,0,0
2909681929,1403461954,FALSE,elite,1,43821915,MEX,Acapulco De Ju√°rez,201.114.49.39,I need to pay extra for bringing my bag on the plane?,How much is the tax for raising a bag to the plane?,where do you inform me if you have any cost to carry a hand bag on the plane?,baggage_carryon,0,0
2909695000,1403461954,FALSE,clixsense,1,43853403,BRA,Rio De Janeiro,179.158.154.94,Are there any transportation fees?,What additional value is there for my luggage to be taken to the plane?,Is there any baggage allowance? If yes which one?,baggage_carryon,1,0
2909634087,1403461954,FALSE,neodev,1,43650485,EGY,Cairo,156.211.251.26,Can you help me get a new flight?,Can you help me get a new flight?,Can you help me get a new flight?,booking_change,0,0
2909664049,1403461954,FALSE,elite,1,43778069,MEX,Guadalajara,177.240.140.242,Is there a charge for carry-on?,Is my carry-on bag included?,Do I have to pay to bring a carry-on on board?,baggage_carryon,0,0
2909676600,1403461954,FALSE,neodev,1,41805069,HUN,Sz√©kesfeh√©rv√°r,92.249.141.161,If I bring this luggage with me how much do I need to pay?,Please tell me it is free to bring this bag with me,So taking this big bag to the plane is supposed to be free isn't it?,baggage_carryon,0,0
2909717802,1403461954,FALSE,clixsense,1,42184715,SRB,Belgrade,178.254.175.29,Does it cost money to bring a carry - on bag on the plane?,I have carry - on bag does it cost a lot of money to bring it on to the plane.,How much cost to bring a carry - on bag?,baggage_carryon,0,0
2909664384,1403461954,FALSE,clixsense,1,41701371,VEN,Caracas,190.36.122.111,How much does it cost for me to carry this on the flight?,this would have some cost to carry in the hand,you could have some cost carry this on the flight,baggage_carryon,0,0
2909673533,1403461954,FALSE,elite,1,43305968,SRB,Novi Sad,147.91.173.31,If I may ask would it cost money to bring a carry-on bag onto the plane?,Are there any fees for bringing a carry-on bag onto the plane?,I would like to know about any possible fees for bringing a carry-on bag onto the plane.,baggage_carryon,0,0
2909714192,1403461954,FALSE,neodev,1,43191711,EGY,Cairo,41.44.237.76,can you tell me how much money it costs to bring a carry on bag,it is 20 kg,and how much cost on every part,baggage_carryon,23,0
2909687657,1403461954,FALSE,neodev,1,33110177,VEN,Car√∫pano,190.204.98.175,Do I have to pay for a carry-on bag on the plane?,Does it have any cost to bring a carry-on bag on the plane?,Will I be charged any money for bringing a carry-on bag on the plane?,baggage_carryon,0,0
2909660581,1403461954,FALSE,neodev,1,38372558,BRA,Goiania,200.163.232.161,How many kilos can I take with me?,Do I pay any additional fees per extra kilo?,Is it priced differently for each type of product?,baggage_carryon,0,0
2909681258,1403461954,FALSE,neodev,1,40010991,EGY,,82.129.198.18,how much i will pay for my bag in the plane?,what is the cost for my bag ?,should i pay for my bag in the plane ?,baggage_carryon,0,0
2909755935,1403461954,FALSE,elite,1,43716648,VEN,Caracas,186.167.245.148,carry carry bag has an additional cost?,What is the cost of having a handbag?,my wife is carrying a handbag does that have any additional cost?,baggage_carryon,0,0
2909729411,1403461954,FALSE,neodev,1,43661460,VEN,,190.207.59.93,Is there an additional cost for carrying a handbag?,How much would it cost to carry a hand bag inside the plane?,Are there extra costs for carrying a handbag?,baggage_carryon,0,0
2909652741,1403461954,FALSE,neodev,1,40308306,VEN,Caracas,201.209.147.89,hi could you please tell me again the information that i did not understand,hi could you please tell me again the information that i did not understand,hi could you please tell me again the information that i did not understand,baggage_carryon,123,0
2909680852,1403461954,FALSE,elite,1,43775319,MEX,Zapopan,187.189.149.82,is there a charge for carry on ?,do i have to pay for a carry on bag?,is the carry on bag free?,baggage_carryon,0,0
2909831115,1403461954,FALSE,clixsense,1,39767721,RUS,Kazan,188.162.195.224,Sorry I would like to know the price for baggage.,How much baggage one Luggage?,Does the weight of Luggage for the price?,baggage_checked,23,0
2909670602,1403461954,FALSE,clixsense,1,39360761,VEN,Barquisimeto,200.8.101.118,Sir please let me know if I should pay for carrying a handbag,Do I have to pay some extra money for my hand luggage?,wearing a handbag generates an extra expense?,baggage_carryon,0,0
